Accession Number,(X) Verified,Phylum,Class,Genus,Species,Country,Date Collected,Primary Collector,UUID,Verified
A37699,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1968 Mar 22,Patrick Healey,323F67CE-15B1-CE4C-A8DF-808D8C9DEB06,03/17/2020
A37700,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1968 Mar 22,Patrick Healey,C9AF29BC-6136-7144-80C9-A30E3E6AD4C1,03/17/2020
A8284,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 12,Tom B. Widdowson,BD1EA72B-A16B-2D43-BC35-BA7F42D0BFAC,03/17/2020
A8312,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 11,Tom B. Widdowson,44BC192E-389A-174C-900F-9CF7EAEDEBF3,03/17/2020
A8305,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 10,Tom B. Widdowson,536CCA41-05E8-AE49-8126-D8833FF7F85F,03/17/2020
A8273,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 15,L. Kemp,227ADC63-1FD1-3842-9F0E-4CCABE9305DB,03/17/2020
A27062,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 23,A. Cattell,31EB1E6D-1841-B447-8389-9016D01FA665,03/17/2020
A25932,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 09,Jim W. Markham,ED4D7F93-C2BB-1B4D-9ED1-AD89EDD54AC1,03/17/2020
A25933,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 09,Jim W. Markham,CEDF6F20-E290-C04F-AF60-345272DDB4B0,03/17/2020
A25928,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 10,A. Cattell,0CE5089B-56C1-D74E-8870-B306EEBEFBF3,03/17/2020
A25918,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 11,Jim W. Markham,3D8F18C3-4389-7A40-B709-1224BACC9415,03/17/2020
A26108,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 12,Jim W. Markham,19541631-DFE7-1146-990E-146EE321BAE8,03/17/2020
A26110,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 11,Jim W. Markham,46E4E939-AFF8-6F49-8E6A-31E5F02993BB,03/17/2020
A26391,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 13,Jim W. Markham,69485B1C-ADF4-5141-881C-CDDB4B12AC02,03/17/2020
A26392,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 13,Jim W. Markham,7105A90D-ADE5-0F4F-B7FF-ABCC6AAC9196,03/17/2020
A26394,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 13,Gordon Robin South,88654747-6901-774C-A661-B876124F4AD2,03/17/2020
A26105,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 13,Gordon Robin South,95DD4ED0-7163-CD4B-80B6-9C77390E2E1B,03/17/2020
A26107,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 14,Patrick Chamut,2C91C694-96AD-3C47-811C-58DAEDF0B057,03/17/2020
A26390,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 14,Patrick Chamut,CA9FBE1A-0705-0445-A9C5-FC6B7046F54F,03/17/2020
A26385,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 14,Patrick Chamut,2912417C-2A06-7747-A20B-550CE7F81F47,03/17/2020
A26680,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 16,Jim W. Markham,135A4247-5774-2B4A-8543-A28D6813CFA3,03/17/2020
A26684,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 17,Jim W. Markham,71A68DE3-91D7-B24A-80F2-1A3B2B91FAEC,03/17/2020
A26384,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 14,Gordon Robin South,556F12E3-CE46-2248-8C85-14F0A654F33F,03/17/2020
A22738,x,Ochrophyta,Phaeophyceae,Feldmannia,cylindrica,Canada,1983 Apr 26,Larry T. Golden,30E41410-867B-D04A-87A0-791C3DB854AB,03/17/2020
A20987,x,Ochrophyta,Phaeophyceae,Feldmannia,cylindrica,Canada,1983 Apr 01,Larry T. Golden,9B36EE2D-3D99-A142-B227-F6011860E6F7,03/17/2020
A69180,x,Ochrophyta,Phaeophyceae,Feldmannia,globifera,Australia,1983 Dec 22,E. M. Gordon-mills,284D95BD-407F-BB43-99E3-E391801BDE46,03/17/2020
A69181,x,Ochrophyta,Phaeophyceae,Feldmannia,irregularis,Australia,1983 Dec 22,E. M. Gordon-mills,C5CAA537-BB17-E449-8F71-F1CC45022C23,03/17/2020
A55357,x,Ochrophyta,Phaeophyceae,Feldmannia,irregularis,Canada,1976 Mar 31,Michael W. Hawkes,6CA38CE4-54D8-C246-8583-CB6D4EC3DC34,03/17/2020
A61446,x,Ochrophyta,Phaeophyceae,Feldmannia,simplex,Canada,1979 Dec 28,Larry T. Golden,EC966FC9-C385-5B4E-B7A5-8E08E507E515,03/17/2020
A62088,x,Ochrophyta,Phaeophyceae,Feldmannia,simplex,United States,1979 Mar 02,David J. Garbary,778572C5-0930-A14C-B92A-D7AA5F40ED36,03/17/2020
A62079,x,Ochrophyta,Phaeophyceae,Feldmannia,simplex,United States,1979 Mar 24,David J. Garbary,8E936E30-E6AD-DF47-95FC-224590FF6ACA,03/17/2020
A53088,x,Ochrophyta,Phaeophyceae,Feldmannia,simplex,United States,1975 May 25,I. R. Price,5CDE0ACB-ADBB-F44A-A962-22391237D2F5,03/17/2020
A64713,x,Ochrophyta,Phaeophyceae,Feldmannia,simplex,Canada,1981 Jul 19,David J. Garbary,E0D71C18-6799-694E-A587-F03DD0E43B50,03/17/2020
A64694,x,Ochrophyta,Phaeophyceae,Feldmannia,simplex,Canada,1981 Jul 17,David J. Garbary,BE18E2BA-9786-7649-92DB-AAB873DEEBA0,03/17/2020
A64712,x,Ochrophyta,Phaeophyceae,Feldmannia,sp.,Canada,1981 Jul 19,David J. Garbary,200DD23A-A28A-7B44-B3D7-9182C11FEB41,03/17/2020
A25546,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,1966 Jul 03,Jim W. Markham,AF98FFE7-7A2D-D941-BE1B-3C592FCDE6A2,03/17/2020
A65984,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,1978 Aug 19,Sandra C. Lindstrom,1CF963C2-A5A8-1D44-A944-D7E2B7842493,03/17/2020
A85024,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,1977 Jun 29,Sandra C. Lindstrom,220B496D-E66A-7446-8F10-009192567DB9,03/17/2020
A85025,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,1978 Jul 20,Sandra C. Lindstrom,5E67F757-165F-F349-89E5-8400DEF6C0CB,03/17/2020
A85026,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,1978 Jul 20,Sandra C. Lindstrom,8FE3489F-C4F1-FA41-92D9-DFBFB20ED607,03/17/2020
A85923,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2006 Jun 21,Roly Russell,E6DECDFB-4F4C-0B42-A737-563C1B4083B6,03/17/2020
A85970,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2006 Jun 16,Spencer Wood,11CD7E83-1EF1-1646-8525-E1F8C6BD9E53,03/17/2020
A85975,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2006 Jun 12,Spencer Wood,75446D4B-0FE2-8649-B9C6-08F7F574DD40,03/17/2020
A86035,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2007 Jun 29,Spencer Wood,F5FCFB96-D0CA-2646-8F7B-479E756BB1F5,03/17/2020
A86048,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2007 Jul 03,Spencer Wood,95A4826B-E938-4B40-8465-B06774C700B7,03/17/2020
A86528,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2005 Jun 20,Sandra C. Lindstrom,E1CE11E6-93E4-B640-87B5-850CF2D14EA6,03/17/2020
A86541,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2005 Jun 21,Sandra C. Lindstrom,6D762894-ECD8-564E-A4AA-01631E67454E,03/17/2020
A86612,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2005 Jun 26,Sandra C. Lindstrom,8523B7AA-7546-EB43-99D2-A1D560C9ACEB,03/17/2020
A87210,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2006 Jun 12,Spencer Wood,9FECA65A-A6DA-114D-98EC-0121163007CA,03/17/2020
A87265,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2007 Jul 02,Roly Russell,EF206ABC-111A-D642-AD9C-739CB981C652,03/17/2020
A88410,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,1989 Jul 21,Sandra C. Lindstrom,9732B491-8843-7345-AA9C-0CBE969685D4,03/17/2020
A89189,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2008 Aug 04,Sandra C. Lindstrom,228B3965-BA58-104D-B415-122DD2D23949,03/17/2020
A90162,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2012 Aug 29,Sandra C. Lindstrom,4E0A4407-E2A1-5F48-A88C-203A15C8C0EE,03/17/2020
A91013,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2008 Aug 07,Sandra C. Lindstrom,1173E2CB-1242-4B41-9937-86F255E78D31,03/17/2020
A91078,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2013 Jul 23,Sandra C. Lindstrom,338E13FD-DAA5-9949-B6A5-BB1BEBC8AE04,03/17/2020
A91193,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2009 Aug 10,David Ward,07CB59C8-910E-754E-872C-55BF17D516F2,03/17/2020
A92474,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,1980 Jul 27,Mike J. Wynne,37F2A870-783D-E541-A0FB-7950505FD940,03/17/2020
A80541,X,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,1989 Jul 30,Sandra C. Lindstrom,903C62BF-B85B-4247-AE2A-0744BD1AB439,03/17/2020
A67962,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1979 Jul 24,Sandra C. Lindstrom,D1A5849F-AE1C-6F4A-ACDC-9F21202DB0B9,03/17/2020
A62991,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1979 May 21,E. B. Lippert,38208917-58FE-CF4A-BE0F-464322B09727,03/17/2020
A51614,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1974 May 25,Jim W. Markham,9FDE0D86-47B2-8546-B57C-D0B961BA7C16,03/17/2020
A48397,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1972 Jul 10,Jim W. Markham,75931EE2-56DF-9240-8B50-6B25A3CD1C09,03/17/2020
A61318,X,Ochrophyta,Phaeophyceae,Elachista,lubrica,United States,1979 Aug 03,D. Lees,93F8267C-6DAB-8743-A268-160FF0EA8783,03/17/2020
A47191,X,Ochrophyta,Phaeophyceae,Elachista,lubrica,Canada,1972 May 21,R. G. Hooper,56E49BEF-772C-234E-970C-F806427ED9CD,03/17/2020
A87483,X,Ochrophyta,Phaeophyceae,Elachista,lubrica,United States,2004 Aug 29,Sandra C. Lindstrom,7AB2EB66-35B4-094D-B0D7-82BF54D5692D,03/17/2020
A91075,X,Ochrophyta,Phaeophyceae,Elachista,lubrica,United States,2013 Jul 24,Sandra C. Lindstrom,7EC5FD28-106D-9146-8306-82EC3BC29032,03/17/2020
A91124,X,Ochrophyta,Phaeophyceae,Elachista,lubrica,United States,2013 Jul 21,Sandra C. Lindstrom,66401691-9827-814E-9AD7-532186D83F06,03/17/2020
A14312,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 20,Tom B. Widdowson,6D3FED90-D78C-0F40-B452-C39FA924DD4A,03/17/2020
A8148,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 12,Tom B. Widdowson,17146135-9F48-164B-A923-21E342610FC9,03/17/2020
A8396,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 13,Tom B. Widdowson,DB6E6870-3FF4-034C-B229-C1C420C394A6,03/17/2020
A9640,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 08,Tom B. Widdowson,47719CA7-BE36-C840-AC05-10200AF76CBC,03/17/2020
A9662,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 08,Tom B. Widdowson,16534BAA-3FD5-3B4A-BFFF-77ACBFEA2BD4,03/17/2020
A21041,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 27,Louis D. Druehl,5E71F788-C335-D24E-A36E-2605B316FC94,03/17/2020
A21055,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 27,Louis D. Druehl,1D13B67B-0BCC-C743-A492-238798DF95E2,03/17/2020
A21053,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 27,Louis D. Druehl,A36FD806-15A9-0743-83E5-E6DF485BDC31,03/17/2020
A22787,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 26,Arthur C. Mathieson,DA89F3DA-03BB-CB41-A261-B8578BAFE3F9,03/17/2020
A22771,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 26,Arthur C. Mathieson,A73F5A8E-C7BB-6B40-AED3-2DC1D5388A8D,03/17/2020
A21988,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 18,J. Green,01BCBBB0-D732-8A48-AC5A-5E277AAECCDB,03/17/2020
A25934,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 09,Jim W. Markham,5020FA49-AD8E-8548-B88A-9A228F204467,03/17/2020
A23727,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Dec 10,G. Robinson,47561DE3-B7FC-BD42-A2D2-30A6ED05C83F,03/17/2020
A25116,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jun 30,Gordon Robin South,EBD38A23-06D7-DD40-B07E-8531B84F14CA,03/17/2020
A25119,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jun 30,Gordon Robin South,A7F3E5BC-BE5E-064F-82D6-60851A0D26E9,03/17/2020
A25115,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 01,Gordon Robin South,E97DB388-D2FB-5147-9E2E-88C19BFD36C9,03/17/2020
A25541,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 03,Jim W. Markham,7EF04DDD-87F3-4445-A617-3B2C22C69BD7,03/17/2020
A25544,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 03,Jim W. Markham,C100B537-7628-B349-B751-A4ABF80D7C7E,03/17/2020
A25540,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 04,Jim W. Markham,BD48D38D-FD43-E348-8AE0-8B11635E6C58,03/17/2020
A25539,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 04,Jim W. Markham,DEC3FCD7-FE2B-E042-9858-DA76770E2CB7,03/17/2020
A25538,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 04,Jim W. Markham,C63BFBD4-2E72-4A46-AC5A-A869F3098560,03/17/2020
A25749,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 04,Jim W. Markham,EA383C4A-E9C6-7345-B03D-8E0E40571630,03/17/2020
A25627,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 04,Jim W. Markham,45EE6248-777C-CC4A-BB7C-274C68CE0E0A,03/17/2020
A31277,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1982 Jul 12,Sandra C. Lindstrom,63C2891B-54D4-8F48-B681-62E77ECF954B,03/17/2020
A2384,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1982 Jul 12,Sandra C. Lindstrom,21BECA57-B69D-804E-B1E0-D3288053258C,03/17/2020
A69756,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1981 Jul 02,Sandra C. Lindstrom,03335BCC-E59F-A442-9367-9EF4BFC4E6C0,03/17/2020
A27561,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1966 Jul 28,Jim W. Markham,87C4C50D-49D1-5542-BF81-BD58FE5193D9,03/17/2020
A21597,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1965 Jun 17,R. Driskill,D1D4D523-FA3C-A246-BAB4-CE8DC06E7C12,03/17/2020
A21548,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1965 Jun 17,R. Driskill,E3F6A59A-ADBB-1A4D-9F55-F846E0EFE179,03/17/2020
A9156,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1960 Jul 08,Tom B. Widdowson,A715AE2C-C18E-6D4E-9548-14E22052206F,03/17/2020
A27547,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1966 Jul 29,Jim W. Markham,EF6DFCA5-3FC9-8541-A6F7-D4742BE7A355,03/17/2020
A27374,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1966 Jul 23,R. Hill,745AF738-2A2B-424F-839C-37F3DA96CDB4,03/17/2020
A27372,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1966 Jul 23,R. Hill,7AE9210F-9A4D-3549-BE0A-F670B21747A7,03/17/2020
A25946,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1966 Jul 09,Jim W. Markham,7DB7DDE7-F3C3-8F46-A05A-FD84BF38C320,03/17/2020
A25518,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1966 Jul 03,Jim W. Markham,9EA1C48E-87A7-C040-8905-212B52CA5EF6,03/17/2020
A9382,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1960 Jul 08,Tom B. Widdowson,27452586-D086-3A4D-BBE2-04DC69C2941D,03/17/2020
A9158,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1960 Jul 08,Tom B. Widdowson,3A50E866-0BE9-7C46-A362-90D4A18EFD1E,03/17/2020
A9155,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1960 Jul 08,Tom B. Widdowson,37EA52EF-F7A4-524E-9B04-45365E3506B8,03/17/2020
A21101,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1965 Jun 27,Arthur C. Mathieson,807BBE2C-CABA-DD49-A77D-E092545CDAC1,03/17/2020
A21111,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1965 Jun 27,Louis D. Druehl,A6FBD093-10A3-204E-B664-AC21814CF803,03/17/2020
A10600,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1960 Jul 11,Tom B. Widdowson,6E7AD54A-DCED-BB41-9AC8-06ACE0A166AF,03/17/2020
A53291,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1975 May 15,Michael W. Hawkes,59510B92-92A4-1F41-AE6E-E8F45ABB2BA3,03/17/2020
A53275,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1975 May 14,Michael W. Hawkes,BDCD1BC3-8329-364F-A770-0220DEAF7349,03/17/2020
A53247,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1975 May 14,Thomas F. Mumford Jr.,8912DFB7-DE96-8645-BFDC-28C1842762DA,03/17/2020
A28297,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1967 Mar 05,Gordon Robin South,1E7B79AA-7177-B141-A701-0428A802F94B,03/17/2020
A28746,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1967 May 04,Gordon Robin South,79FE632C-BA2E-4543-93D0-06DC6A6E60FC,03/17/2020
A38687,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1968 Oct 12,Danny R. Pace,A7276CC4-B4B8-0D40-8F9A-3D4E353C1C52,03/17/2020
A65967,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1977 Sep 14,Sandra C. Lindstrom,44FCA92F-8087-6F4B-95D7-62A779F80931,03/17/2020
A85018,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,9/8/1975,Sandra C. Lindstrom,1C4C1C47-D3D5-4A43-883D-F59F98CC527E,03/17/2020
A85019,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1/7/1977,Sandra C. Lindstrom,F27A1B68-C925-2D43-A80B-2E8A29CDBBF9,03/17/2020
A85020,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1977 Sep 14,Sandra C. Lindstrom,F9D62976-DE12-1547-8D2C-F57E4EEF7B4A,03/17/2020
A85021,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1977 Jul 31,Sandra C. Lindstrom,9DCB8A18-C5B0-494C-BCF2-BD102CE72520,03/17/2020
A85022,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1978 Jul 19,Sandra C. Lindstrom,FC76C574-0030-EA44-B1D7-E2CDFBCB62D3,03/17/2020
A85768,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,2007 Jun 15,Peter Freeman,F6105388-0574-F24A-BAD3-CE3E8AD418AA,03/17/2020
A86547,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,2005 Jun 21,Sandra C. Lindstrom,99CE896C-3A6B-3744-BB79-9A35DC71B4A7,03/17/2020
A86941,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,2003 Jul 02,M. R. Lindeberg,1DA9D5CC-13EE-D74D-8442-5B0790450476,03/17/2020
A87478,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,2004 Aug 28,Sandra C. Lindstrom,B6DE2274-7C0A-3240-B1D0-C3B64BB37799,03/17/2020
A89648,x,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,2011 Aug 12,Patrick T. Martone,B797C830-3BB3-8948-AE6A-5783E0906E15,03/17/2020
A80733,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1989 Jul 16,Sandra C. Lindstrom,FCD93CEA-A76E-C549-8FF3-891C315A6537,03/17/2020
A80659,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1989 Jul 24,Sandra C. Lindstrom,22CCE437-FD47-9746-BE48-37AEF5862678,03/17/2020
A80595,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1989 Aug 02,Sandra C. Lindstrom,BBFECADD-0DE6-6B4B-AA8C-6DC8306307CB,03/17/2020
A47127,x,Ochrophyta,Phaeophyceae,Endarachne,binghamiae,United States,1970 Jul 09,Robert Setzer,9147899E-CA38-9947-91F4-33F5FA38482B,03/17/2020
A4018,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 May 21,Tom B. Widdowson,44914C39-C048-3A4B-B551-ACC16D6981FE,03/17/2020
A38842,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Oct 25,Danny R. Pace,2182E30A-6652-0A41-B392-1A9158A1C253,03/17/2020
A42237,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 May 16,Danny R. Pace,AA2A0A71-CE8C-F845-B96C-DCD7D04AA057,03/17/2020
A39212,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Mar 19,Julie L. Celestino,AFC7C36B-DB76-9A41-915D-557FCD5F94DE,03/17/2020
A39211,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Nov 22,Danny R. Pace,53A14A44-5A8E-244B-A704-D26270B7CB35,03/17/2020
A31821,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 Sep 03,Patrick Chamut,4A2BBA01-B3C5-D440-B5F8-C3CED804D542,03/17/2020
A31819,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 Aug 17,Patrick Chamut,834C6E63-83B0-0144-A84A-419E87969955,03/17/2020
A24268,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Jun 25,Danny R. Pace,7C46FFA7-C190-C944-9EA3-54C972ED8B6C,03/17/2020
A29851,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 May 25,Patrick Chamut,127C30E8-387B-C44F-8E7C-1C436EDCFB07,03/17/2020
A32362,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Jan 27,Ken Baillie,7270BE0F-600C-844F-B651-766D97EDD205,03/17/2020
A32781,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Apr 15,M. Chihara,17ABF3B7-A196-2D4B-BE62-ADB5291E39F7,03/17/2020
A32676,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Mar 22,M. Chihara,B4F9AED1-E39B-2C48-937A-48FC04459AB4,03/17/2020
A34489,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Jun 25,Danny R. Pace,DD1F93EA-61E6-7844-BEA8-531BEB93E430,03/17/2020
A32678,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Apr 29,M. Chihara,4464A2AA-072A-B94A-AB95-129B265B4B70,03/17/2020
A37350,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 23,Jim W. Markham,9C3B4A13-5D45-8B46-9535-006E88733608,03/17/2020
A37349,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 22,Jim W. Markham,6C33B108-C8A8-8B4F-826B-4374314609D3,03/17/2020
A37348,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 22,Jim W. Markham,DA8653B7-4A84-6143-A6FB-73AFF48BD60A,03/17/2020
A37190,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 21,Jim W. Markham,A1AE220C-B70C-F344-85B7-EB8F8EDCE2FA,03/17/2020
A37032,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 20,Jim W. Markham,9AB1011E-47C0-FC43-B497-2C38A93C46D1,03/17/2020
A37031,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 20,Jim W. Markham,C6788DCF-4EC5-B244-8789-AC907B767FE9,03/17/2020
A24242,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1964 Jun 11,Robert K.S. Lee,8D9372CD-4790-3241-BE4F-2ADE7B0E4CB3,03/17/2020
A3875,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 Apr,S. Neave,EAB40B08-C50F-1B41-B2B4-5DED80A6099C,03/17/2020
A3874,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 Apr,S. Neave,B0CB4533-0ADD-B84E-BC94-148BFA955485,03/17/2020
A93084,X,Phaeophyta,Phaeophyceae,Eisenia,arborea,United States,2009 Jan,Kyle Demes,B8607C42-FE03-0A4B-9E2F-A3F37E164659,03/17/2020
A93085,X,Phaeophyta,Phaeophyceae,Eisenia,arborea,United States,2009 Jan,Kyle Demes,7A086952-D57C-5442-B9B0-D2DF6FE3A873,03/17/2020
A7343,X,Ochrophyta,Phaeophyceae,Eisenia,bicyclis,Japan,1954 May 22,S. N.,F4DC51D5-27F3-FC45-A4E4-3C1CEE2F26A4,03/17/2020
