Herbarium BioBlitz,SCIE 001,,,,,,
10-Sep-19,,,,,,,
Student Name,Payton Mackwood,,,,,,
Student Name,Mickey Ordog,,,,,,
12-Sep-19,,,,,,,
Student Name,,,,,,,
Student Name,,,,,,,
13-Sep-19,,,,,,,
Student Name,,,,,,,
Student Name,,,,,,,
,,,,,,,
Accession Number,X = Inventoried,Genus,Species,Country,Date,Collector,UUID
A40484,,Costaria,costata,Canada,1969 Jun 17,Ken Baillie,CA62D936-71F2-4244-B8AA-D44AD29CE61E
A42383,,Costaria,costata,Canada,1969 Aug 19,Ken Baillie,90C4B5E8-939A-3F40-A1BC-10F24EEC1B3B
A42061,,Costaria,costata,Canada,1969 Aug 15,Ken Baillie,D125C011-64F3-D24C-82AE-5A88201DD2E6
A42077,,Costaria,costata,Canada,1969 Aug 12,Danny R. Pace,EACF3904-6990-C04C-887F-382BD442CD3F
A42188,,Costaria,costata,Canada,1969 Aug 10,Ken Baillie,97FBD4F6-65CC-9848-AE45-53254997ACC1
A42189,,Costaria,costata,Canada,1969 Aug 10,Ken Baillie,D848180E-3726-1F49-833E-C517CE506FF8
A41932,,Costaria,costata,Canada,1969 Jul 30,Ken Baillie,9B3EEC8D-A1D2-064A-92CD-1A7FE81D0AFD
A41773,,Costaria,costata,Canada,1969 Jul 29,Ken Baillie,6DB117B7-0B24-434C-B03F-CB8F47B191E8
A41790,,Costaria,costata,Canada,1969 Jul 23,Danny R. Pace,E2FC74F5-463C-E94E-9A38-D9B96F7CB589
A41566,,Costaria,costata,Canada,1969 Jul 14,Danny R. Pace,7507AE64-746B-0143-B50B-7D9363216A76
A41571,,Costaria,costata,Canada,1969 Jul 12,Danny R. Pace,6A658B60-C12A-854E-8055-6B96F8F95BED
A41138,,Costaria,costata,Canada,1969 Jul 09,Danny R. Pace,BE7390A1-0FF2-4D46-9FB6-185E7EC7D45D
A41233,,Costaria,costata,Canada,1969 Jul 06,Ken Baillie,0F572862-CBF1-E54E-8C8B-F03C267171E3
A41408,,Costaria,costata,Canada,1969 Jul 05,Danny R. Pace,34C796C7-3D47-2C4E-B9A4-1F1427E413F3
A41333,,Costaria,costata,Canada,1969 Jul 01,Ken Baillie,9380D0AB-D11B-B645-B2C7-4DF026176FD9
A41270,,Costaria,costata,Canada,1969 Jun 30,Louis D. Druehl,B5806428-201A-7440-AE04-39F0BF588BD5
A41544,,Costaria,costata,Canada,1969 Jun 29,Ken Baillie,1104FBE4-F92F-C44C-8FCD-4599D66A9F10
A40739,,Costaria,costata,Canada,1969 Jun 16,Ken Baillie,73079039-08EB-7642-A24A-DE173A8E917C
A40540,,Costaria,costata,Canada,1969 Jun 05,P. Harrison,C6E3D09B-0EEB-2B4D-B5B3-86426ECE40CD
A40632,,Costaria,costata,Canada,1969 Jun 02,S. O'brien,CED7AA03-E287-F048-87BB-A54B87B40401
A4497,,Costaria,costata,Canada,1957 Jul 17,Tom B. Widdowson,2DA2B817-3661-E745-B70E-D71514C5772C
A45767,,Costaria,costata,Canada,1969 Mar 03,S. O'brien,CFC3B41E-0378-CF45-8345-42C52BBF33A1
A45768,,Costaria,costata,Canada,1969 Apr 13,S. O'brien,FBCFAF04-18CC-2C46-99D0-342915C9B2F0
A45769,,Costaria,costata,Canada,1969 Apr 26,S. O'brien,C284B730-3AC1-AB42-8C65-63D6D4780387
A45770,,Costaria,costata,Canada,1969 Apr 26,S. O'brien,77C0773C-87DA-6E49-B369-99DEA4B45015
A45753,,Costaria,costata,Canada,1969 Feb 22,S. O'brien,0BA61ACC-6E40-1246-9288-64E698C894DB
A45756,,Costaria,costata,Canada,1969 Mar 09,S. O'brien,88D2662C-8DE4-1748-A240-5AC453C7A191
A45757,,Costaria,costata,Canada,1969 Mar 09,S. O'brien,F4F7E688-AC0A-5B40-A170-C84E49FCC313
A45758,,Costaria,costata,Canada,1969 Mar 16,S. O'brien,8327CC4A-F287-D94C-ABD8-2153CD569762
A45759,,Costaria,costata,Canada,1969 Mar 09,S. O'brien,2B3876FC-5963-D940-A066-3D65E0A515EA
A45760,,Costaria,costata,Canada,1969 Mar 09,S. O'brien,1BDE8B41-CA98-1F40-8179-DDA3B3885985
A45761,,Costaria,costata,Canada,1969 Feb 22,S. O'brien,7CAA006C-10D6-974A-BE51-0DE0A942A530
A45762,,Costaria,costata,Canada,1969 Mar 09,S. O'brien,05CE21FA-809F-B547-BB51-A119233EE7C8
A45763,,Costaria,costata,Canada,1969 Mar 09,S. O'brien,7CDBB5E2-02B3-2244-B514-72C0E06A325B
A45764,,Costaria,costata,Canada,1969 Mar 30,S. O'brien,D27A8186-3894-1D4A-B227-C90172F34C29
A45765,,Costaria,costata,Canada,1969 Mar 09,S. O'brien,81E44642-9E9A-5148-BB7C-7F6FDC2309A3
A45766,,Costaria,costata,Canada,1969 Feb 22,S. O'brien,25936C45-F461-4F4D-A5C9-B98E5FAE8028
A45729,,Costaria,costata,Canada,1969 Jul 12,S. O'brien,5C789009-2202-C840-9C7D-F5B6CA0B9683
A6815,,Costaria,costata,Canada,1945 Sep 22,R. W. Pillsbury,1060760D-A412-3442-8139-057436E60637
A42617,,Costaria,costata,Canada,1969 May 15,Ken Baillie,519C33F8-43D8-A745-9E03-4A70C2760507
A29291,,Costaria,costata,Canada,1967 May 23,Gordon Robin South,6143D356-3DAF-C540-8209-AA5C67FA1E54
A28864,,Costaria,costata,Canada,1967 Apr 27,Gordon Robin South,CC3467A8-04B2-A742-8735-5DE85B8494F8
A28963,,Costaria,costata,Canada,1967 May 25,R. D. Hill,1E378BB8-0B5B-354A-B659-9F28D3639B7D
A29080,,Costaria,costata,Canada,1967 May 25,R. D. Hill,F9334F61-14EC-184C-A4EB-7C355EF5DA35
A31379,,Costaria,costata,Canada,1967 Jun 22,Gordon Robin South,ADC050BC-1873-3A40-8EE4-34D5396A6F80
A28562,,Costaria,costata,Canada,1967 Mar 30,Gordon Robin South,DCBA4F85-924C-C44D-A873-902FC6963F90
A28561,,Costaria,costata,Canada,1967 Mar 31,Gordon Robin South,C3BED32D-FCA6-EB42-87A4-7CD9A20C67BE
A28560,,Costaria,costata,Canada,1967 Mar 31,Gordon Robin South,2FFE11D6-E9A7-CF43-8411-A78D33DE41C8
A45787,,Costaria,costata,Canada,1970 Jul 19,S. O'brien,CC6D9346-6276-6B40-8231-60D55BE9847A
A45786,,Costaria,costata,Canada,1970 Jul 19,S. O'brien,2FCE468D-ECCE-364C-8651-9BF3E71D144D
A45793,,Costaria,costata,Canada,1970 Jul 19,S. O'brien,B3A856D5-A722-6440-B125-C2DC9B710478
A45785,,Costaria,costata,Canada,1970 Jul 19,S. O'brien,72650FBC-EA37-2741-9EC6-6C214BBCF12E
A45789,,Costaria,costata,Canada,1970 Jul 19,S. O'brien,0CB1CDF8-D2A6-DD4B-90C2-76AF251FD3E6
A45740,,Costaria,costata,Canada,1969 Jul 15,S. O'brien,B46C5D25-84AB-724D-95F5-F0A1FDB886C6
A45724,,Costaria,costata,Canada,1968 Aug 24,S. O'brien,BC274C6B-B75D-1B48-BB5A-1E37ACFFDEB7
A45733,,Costaria,costata,Canada,1969 Jul 15,S. O'brien,37106D2C-C802-D34E-A7CC-7DAC69B30B5C
A45734,,Costaria,costata,Canada,1969 Jul 15,S. O'brien,6C4C5950-2DC6-A040-AF65-E776BFB855E4
A45728,,Costaria,costata,Canada,1969 Jul 12,S. O'brien,6A885FAA-10E4-3643-B165-73CB90DFEA32
A55651,,Costaria,costata,Canada,1976 Mar 22,Barry Smith,48627ADF-C26A-7648-94CA-9364444BABE2
A42619,,Costaria,costata,Canada,1969 May 31,Ken Baillie,BCCD1513-5375-524B-BC73-A89A259CDEF6
A35682,,Costaria,costata,Canada,1968 Aug 10,Jim W. Markham,436AE6DE-41F7-DD4E-A726-C42D7D7E23B7
A57084,,Costaria,costata,Canada,1976 Mar 31,Eric Cabot,6170C8C6-084B-D14B-9210-F6836AE8B4C4
A57107,,Costaria,costata,Canada,1976 Mar 31,E. Cabot,DE1034C5-A149-B84A-98BF-F1B80569522F
A55629,,Costaria,costata,Canada,1976 Mar 23,Barry Smith,626E894B-D279-3E40-8B14-11456F638B1D
A55538,,Costaria,costata,Canada,1976 Mar 25,J. Hart,53EEBB20-7220-BB4D-8896-C663B88A5077
A55468,,Costaria,costata,Canada,1976 Mar 24,R. Foreman,E0C9050C-62ED-3541-B513-4AB88D4DBA6E
A55499,,Costaria,costata,Canada,1976 Apr 01,Barry Smith,66FF6E8F-B924-834B-B3B2-22A5D9E6BFB6
A3065,,Costaria,costata,Canada,1945 Sep 23,A.H. Hutchinson,FFA09182-67A8-994D-89A1-2CA152BC519A
A55576,,Costaria,costata,Canada,1976 Mar 26,Barry Smith,A35DE185-F9FF-F643-A8E0-B6E389996D81
A55549,,Costaria,costata,Canada,1976 Mar 26,Barry Smith,27FFD4CF-BAB2-AC41-A909-1539F821B270
A55587,,Costaria,costata,Canada,1976 Mar 26,Barry Smith,7AC204BF-72F1-384E-85CB-654F3F8D4582
A56212,,Costaria,costata,Canada,1976 Mar 27,J. Root,1404CBEC-B10A-FB4C-A33F-EDC9B61C0619
A56360,,Costaria,costata,Canada,1976 Mar 27,J. Hart,92563E5B-679B-E946-81C9-9D7B2001AE7B
A56131,,Costaria,costata,Canada,1976 Mar 23,J. Hart,FB85279C-CEA3-3746-B14A-33FEF81412FD
A56250,,Costaria,costata,Canada,1976 Jun 08,R. Foreman,16161A47-D287-B241-93CC-9D366996F3AC
A56606,,Costaria,costata,Canada,1976 Mar 24,R. Foreman,28ADA61A-713C-944F-956C-FA4F22C1F164
A56551,,Costaria,costata,Canada,1976 Apr 01,Barry Smith,21EAD7AE-D8DA-8646-BA7A-8A9C97AD1771
A52951,,Costaria,costata,Canada,1975 Apr 16,Thomas F. Mumford Jr.,75D69103-273F-CD4C-973B-9CD7D67F2ED0
A52874,,Costaria,costata,Canada,1975 Apr 15,Thomas F. Mumford Jr.,769DB576-8CE5-FC48-954B-F0BD8B147C29
A61570,,Costaria,costata,Canada,1980 Feb 14,Larry T. Golden,762CA1BB-C588-6E48-AD5A-942E7310A6E9
A39351,,Costaria,costata,Canada,1945 Jul 12,R. W. Pillsbury,1B1512BF-B8D5-5641-91C8-ABD5C76B5E42
A45752,,Costaria,costata,Canada,1969 Apr 24,S. O'brien,D88BBD0F-FB2A-2C43-B10C-5E30C55A9C61
A45751,,Costaria,costata,Canada,1969 Mar 27,S. O'brien,66AB9B00-BBAD-464C-A09D-D3A150E6B8D1
A45750,,Costaria,costata,Canada,1969 Mar 27,S. O'brien,856D2262-D307-AD43-BB01-DB9DC7F9C346
A45749,,Costaria,costata,Canada,1969 Feb 27,S. O'brien,7B29F8CB-CFCC-F24A-A8BE-FA0146994EFA
A45747,,Costaria,costata,Canada,1969 Apr 24,S. O'brien,AE1688C1-CF20-9549-B9A6-FF5947F38D90
A45748,,Costaria,costata,Canada,1969 Mar 27,S. O'brien,11E29B43-EB1D-9945-A8C2-5A9982894099
A45745,,Costaria,costata,Canada,1969 Mar 06,S. O'brien,80EC98E2-D149-1B41-8A35-F83EDB9ED866
A45746,,Costaria,costata,Canada,1969 Feb 27,S. O'brien,54C74E4C-99A9-FF41-95E0-C43E798096D8
A45743,,Costaria,costata,Canada,1969 Feb 27,S. O'brien,23A11E9B-1094-D04B-B346-4452A8663525
A45744,,Costaria,costata,Canada,1969 Feb 27,S. O'brien,469EA426-2431-F647-99A1-09873B2B3CE6
A40028,,Costaria,costata,Canada,1969 May 08,Ken Baillie,1D07F0BB-6B57-A342-B9AB-29FCC17FDFDB
A42618,,Costaria,costata,Canada,1969 Jun 01,Ken Baillie,66901B23-8859-FF45-B496-73ADD2F76878
A39207,,Costaria,costata,Canada,1969 Mar 19,Julie L. Celestino,6F042EFF-C040-9047-A9AC-AFC94A30DA2B
A45506,,Costaria,costata,Canada,1971 May 12,Jim W. Markham,4F519DA6-4EE8-7541-B9EB-3D6B2E50B7CA
A45508,,Costaria,costata,Canada,1971 May 12,Peter R. Newroth,C23A7C94-D35F-CF4F-9196-0B4CA0881AC2
A38674,,Costaria,costata,Canada,1968 Sep 04,Jim W. Markham,26A26443-EB97-6A4E-8992-9FD9B4EF7B87
A39205,,Costaria,costata,Canada,1968 Aug 03,Jim W. Markham,B90A9833-4B9F-2742-84A5-5A3F3C986605
A38120,,Costaria,costata,Canada,1968 Aug 30,Jim W. Markham,132C12D0-79B6-E544-9E28-3618C59575BA
A37840,,Costaria,costata,Canada,1968 Aug 29,Jim W. Markham,570CFA81-7622-3743-B26E-DC0DC35922B5
A37839,,Costaria,costata,Canada,1968 Aug 25,Jim W. Markham,364C6B52-1C03-F941-B438-B640B7CA3DB8
A37540,,Costaria,costata,Canada,1968 Aug 23,Jim W. Markham,1B9FDDAC-E494-F74C-80A2-CBA9D3E5C188
A37335,,Costaria,costata,Canada,1968 Aug 23,Jim W. Markham,99F2BAE1-DE9D-854C-94F0-0A567FC1594B
A36791,,Costaria,costata,Canada,1968 Aug 19,Jim W. Markham,40AC9DCC-6E94-7842-B076-FF766A2E0411
A36790,,Costaria,costata,Canada,1968 Aug 18,Jim W. Markham,028D0A9A-28A9-A345-8CC8-7F30492D3F6F
A35912,,Costaria,costata,Canada,1968 Aug 17,Jim W. Markham,094711C9-27C2-FA41-A394-7B439607C50D
A37026,,Costaria,costata,Canada,1968 Aug 14,Jim W. Markham,242D9652-E469-4940-B672-B325D23E2CCE
A35784,,Costaria,costata,Canada,1968 Aug 12,Jim W. Markham,437AC9C6-1156-234B-BD19-D8F5C6164BF5
A35909,,Costaria,costata,Canada,1968 Aug 12,Jim W. Markham,B1CBF8DF-4693-9741-890D-3C480B59B0B9
A35907,,Costaria,costata,Canada,1968 Aug 10,Jim W. Markham,28034D0E-FCDC-1F41-96F1-D9706486F703
A35533,,Costaria,costata,Canada,1968 Aug 09,Jim W. Markham,E4EF2383-21EF-0F44-A673-F8C99D04B3C2
A239,,Costaria,costata,Canada,1938,M. A.,F6F14074-D223-5349-9A6F-BD998F7362C7
A241,,Costaria,costata,Canada,1938,M. A.,00AE435E-39A3-8D46-9DC2-4D43EE4A49E6
A242,,Costaria,costata,Canada,1938,M. A.,319D71F9-DEEB-274B-B7B6-244AE88DA6D1
A45781,,Costaria,costata,Canada,1969 Jun 14,S. O'brien,FBD4BF8C-1952-7444-B0EB-70BB528BD119
A45716,,Costaria,costata,Canada,1968 Jun 08,S. O'brien,F4A271E1-A6C8-6844-9A8E-688F71602618
A45718,,Costaria,costata,Canada,1968 Jul 06,S. O'brien,80EC76D9-C7F7-454F-8435-DD77E96904B7
A45717,,Costaria,costata,Canada,1968 Aug 24,S. O'brien,53E7107D-BD46-B444-A98D-9AAAF465A5A1
A45773,,Costaria,costata,Canada,1969 Apr 12,S. O'brien,3F79C44C-A476-7A42-AE27-0BC71EBB0024
A45771,,Costaria,costata,Canada,1969 Mar 08,S. O'brien,EFDB6F26-72BB-EF42-921F-FB22FC1B2FA1
A45772,,Costaria,costata,Canada,1969 Mar 29,S. O'brien,FC82FB41-5C4F-F142-A29F-87B4DC475C13
A45727,,Costaria,costata,Canada,1969 Jul 12,S. O'brien,18C1EB6E-DCD4-5A46-A43C-7B9B2C239E97
A7488,,Costaria,costata,Canada,1959 Jul 22,Tom B. Widdowson,B2B50EFC-6CD0-E149-92D8-DBF9333FF21D
A7384,,Costaria,costata,Canada,1959 Aug 14,Tom B. Widdowson,E0ADCA07-3798-754A-A31B-3AC524B9E544
A3161,,Costaria,costata,Canada,1957 Jul 30,Tom B. Widdowson,23CB3192-F02F-B249-9B3D-C961239D595D
A3979,,Costaria,costata,Canada,1959 May 28,Tom B. Widdowson,AAD42984-7CEE-2545-A6A5-C2C2674B36FB
A3162,,Costaria,costata,Canada,1957 May 14,Tom B. Widdowson,6001B27E-6AC4-F84B-B7F3-1F897B4A3CE4
A3158,,Costaria,costata,Canada,1957 Jul 26,Tom B. Widdowson,137AF5BE-2E73-4B4B-B480-D5E0388AB7C7
A53261,,Costaria,costata,Canada,1975 May 14,Thomas F. Mumford Jr.,DC3348F1-BC6A-4542-A74A-2581282B7B8B
A3159,,Costaria,costata,Canada,1957 Jul,Tom B. Widdowson,F0BB2E07-4FCF-034A-8D95-D94F26D2A95F
A54569,,Costaria,costata,Canada,1976 Mar 24,C. Tanner,99790211-5E9F-C049-90F1-E23AA20C7215
A55089,,Costaria,costata,Canada,1976 Mar 24,C. Tanner,DEC8BAE1-3C2F-CB48-B901-10996AB8B6BE
A54687,,Costaria,costata,Canada,1976 Mar 26,C. Tanner,2A92DA4C-3CF3-F846-A1B7-FD2FA25B9BCD
A54501,,Costaria,costata,Canada,1976 Mar 25,Michael W. Hawkes,2F594BA6-5B53-8448-9F10-7ACA4A527630
A54933,,Costaria,costata,Canada,1976 Mar 22,Michael W. Hawkes,81CBC51B-15E9-5D4E-8D98-5C9FFB27109B
A55333,,Costaria,costata,Canada,1976 Mar 30,Michael W. Hawkes,56300185-F81D-0D4A-93C9-9A32D5243BD5
A54650,,Costaria,costata,Canada,1976 Apr 01,C. Tanner,EF2D79EF-C2D9-314F-A9BB-93131D61E7EA
A22470,,Costaria,costata,Canada,1965 Jul 03,R. Driskill,B61D8975-EA58-B944-B368-CA2FE0390B31
A24232,,Costaria,costata,Canada,1964 Jun 11,Robert K.S. Lee,72E21CA7-48BD-4341-880E-6B1C99A61B33
A19105,,Costaria,costata,Canada,1964 Jul 10,D. W.,70934DF1-7A6F-F846-9325-A3A4FD1BB20B
A45678,,Costaria,costata,Canada,1968 Apr 17,S. O'brien,BEC647D7-8A6D-ED44-8813-6BEB7F642C79
A45682,,Costaria,costata,Canada,1969 Apr 08,S. O'brien,A9EEE583-81FB-E847-A078-7BC94C15D87F
A45683,,Costaria,costata,Canada,1969 Apr 08,S. O'brien,B50AB307-F367-FA41-9850-1E4C37B39F7A
A45680,,Costaria,costata,Canada,1969 Apr 20,S. O'brien,54F3E2C7-AABA-7646-9E03-100D1DAAE75F
A45681,,Costaria,costata,Canada,1969 Apr 08,S. O'brien,2AB219F0-6C47-834A-9BA1-0F5161331BD0
A45679,,Costaria,costata,Canada,1968 May 14,S. O'brien,C842BC91-35AC-3247-B8FA-9A6B94C97F27
A45684,,Costaria,costata,Canada,1969 Apr 07,S. O'brien,53EE3CDB-236A-AE4A-B453-11D30C1EFC91
A45685,,Costaria,costata,Canada,1968 Jul 10,S. O'brien,E17B5E2A-13F5-B04F-AA48-EFED623B7057
A45676,,Costaria,costata,Canada,1968 Jun 15,S. O'brien,39512E2C-FC18-C043-BF86-76D116E4C5F8
A45675,,Costaria,costata,Canada,1968 Jun 15,S. O'brien,3A262157-956D-7C4A-A7A3-9C35333D66B0
A45677,,Costaria,costata,Canada,1968 Jun 15,S. O'brien,FEC8EC95-BC61-0B44-B824-18A5832A46B5
A45674,,Costaria,costata,Canada,1968 Jun 15,S. O'brien,07379D14-D998-614B-9EF5-EA657E613832
A45691,,Costaria,costata,Canada,1969 May 03,S. O'brien,D64E9666-17AC-6749-87FA-FF98CFE64FBE
A45690,,Costaria,costata,Canada,1969 May 03,S. O'brien,4BBE2179-AED9-774E-AD78-6AFCD8E88F7A
A45693,,Costaria,costata,Canada,1969 Jun 04,S. O'brien,B501A3E0-2CB6-4F4D-BC1F-4A3A29EC75F0
A45692,,Costaria,costata,Canada,1969 Jun 04,S. O'brien,0340EC59-52DE-9B42-947A-648D94A22353
A45695,,Costaria,costata,Canada,1968 Apr 18,S. O'brien,F987C881-B43B-4F44-8542-D2BAC7875FBC
A45694,,Costaria,costata,Canada,1968 Apr 18,S. O'brien,1E095785-616D-ED44-B750-76FDD856605A
A45696,,Costaria,costata,Canada,1968 Jun 14,S. O'brien,686917EB-58A8-E445-8AB8-76C711B2FDCB
A45791,,Costaria,costata,Canada,1970 Jul 19,S. O'brien,C7C97C5C-50F6-AB4F-A3EA-D1FE7E9584C8
A45784,,Costaria,costata,Canada,1970 Jul 19,S. O'brien,B8A8D493-4D89-2147-A812-814CDF9AD46C
A45799,,Costaria,costata,Canada,1971 Jun,Louis D. Druehl,E8E1A435-4521-5B4D-8D23-D198CA64B974
A45798,,Costaria,costata,Canada,1971 Jun,Louis D. Druehl,2E19023C-EC56-B54C-85AE-49437E892A28
A45797,,Costaria,costata,Canada,1971 Jun,Louis D. Druehl,708D8781-F8C0-6740-9CA2-44CC1A89A9D5
A45796,,Costaria,costata,Canada,1971 Jun,Louis D. Druehl,7D7C04C2-5F19-114F-BD1A-DED71C97B575
A45507,,Costaria,costata,Canada,1971 May 12,Peter R. Newroth,92BB33C1-B14E-7B48-A4F8-AD3F6B6677B0
A46102,,Costaria,costata,Canada,1972 Jan 29,Julie L. Celestino,47BDEB4F-8F29-384B-936C-A1C2C3468ED7
A18533,,Costaria,costata,Canada,1964 Jun 09,Robert K.S. Lee,AE438680-FF4A-7645-93AB-1A1C9967E478
A16364,,Costaria,costata,Canada,1963 Jun 25,Robert K.S. Lee,D65CD53E-083B-3E4A-A937-05184B1C3A6D
A16336,,Costaria,costata,Canada,1963 Jun 24,Robert K.S. Lee,60AF2513-F883-EB45-8CF5-A45B325F2547
A16891,,Costaria,costata,Canada,1963 Jun 23,Robert K.S. Lee,115B9A6E-6A1B-0940-850D-EC74301259FC
A16636,,Costaria,costata,Canada,1963 Jun 21,E. Menez,DDB03A5F-902B-6C4B-AD99-EA8FD604E19F
A16459,,Costaria,costata,Canada,1963 Jun 20,Louis D. Druehl,2AC0F25E-DF6C-A746-ACA3-22A16541F662
A16559,,Costaria,costata,Canada,1963 Jun 19,E. Menez,2A226459-C9F6-3B42-9A12-17F988BACD67
A43294,,Costaria,costata,Canada,1969 Spring,Louis D. Druehl,8163CDB9-0A68-0244-95CF-93894B014D68
A43841,,Costaria,costata,Canada,1970 Sep 10,Danny R. Pace,3F5B1F58-D7D1-174D-8421-41E882473AFD
A43840,,Costaria,costata,Canada,1970 Sep 10,Danny R. Pace,2C54DF19-A7AA-0B4F-A151-7560D26665B6
A43696,,Costaria,costata,Canada,1970 Sep 15,Danny R. Pace,635D2211-5459-6845-997C-1664572B1748
A43695,,Costaria,costata,Canada,1970 Sep 14,Danny R. Pace,9AEA921E-31A3-E748-821C-7F232F924424
A43694,,Costaria,costata,Canada,1970 Sep 11,Danny R. Pace,DABB7DFD-AE94-DB4F-93DA-4B37BB8AED5F
A43693,,Costaria,costata,Canada,1970 Sep 10,Danny R. Pace,A9B4603C-0F61-F74C-94F5-19F49F0C524B
A44201,,Costaria,costata,Canada,1971 Jan 17,Louis D. Druehl,1ADA59B4-B5D1-6D41-9DE7-4D27792D35A9
A44004,,Costaria,costata,Canada,1971 Jan 17,Louis D. Druehl,DFEA38AE-9888-A741-A62D-E707B21E2A77
A44003,,Costaria,costata,Canada,1971 Jan 16,Louis D. Druehl,20317E47-B0E1-9949-AA95-BA6670F50D9C
A44200,,Costaria,costata,Canada,1971 Jan 16,Louis D. Druehl,CE9A1B0B-FADB-A340-BFC0-2E5D3D469E57
A42896,,Costaria,costata,Canada,1970 Apr 13,A. R. O. Chapman,1501F4E6-6775-AA4B-A283-F28953AA035B
A3167,,Costaria,costata,Canada,1957 Jun 17,Tom B. Widdowson,F19ADF78-CA37-A442-A0D2-B175A86F1CD0
A3168,,Costaria,costata,Canada,1958 Jun 20,Tom B. Widdowson,4E8CCD07-25D7-5A44-93C3-39C0AFC5A43F
A3987,,Costaria,costata,Canada,1959 May 04,Tom B. Widdowson,05ED6EEC-BB00-9447-877F-FFB68942A4D0
A3990,,Costaria,costata,Canada,1959 May 27,Tom B. Widdowson,6027B8EA-2930-A24A-9D44-1DF1C166B196
A3993,,Costaria,costata,Canada,1959 May 27,Tom B. Widdowson,D5C8353A-FFF8-714D-9D77-DEFAB0B3920B
A3991,,Costaria,costata,Canada,1959 May 27,Tom B. Widdowson,0AE11192-8321-6444-A5F0-919561629378
A3986,,Costaria,costata,Canada,1959 May 27,Tom B. Widdowson,8876FD15-3841-764E-B18F-A5B7223626AA
A3988,,Costaria,costata,Canada,1959 May 27,Tom B. Widdowson,E230C51E-3CC3-374C-BFE8-613F8252A586
A3992,,Costaria,costata,Canada,1959 May 27,Tom B. Widdowson,73D78CA2-5C50-424F-8226-28DD3BB0F2FC
A3985,,Costaria,costata,Canada,1959 May 22,Tom B. Widdowson,C81CB794-FFB1-704E-BA01-614BBF2CA4C9
A3984,,Costaria,costata,Canada,1959 May 22,Tom B. Widdowson,4A1CB5F6-7AC6-1042-95F5-428BBFA3E855
A3983,,Costaria,costata,Canada,1959 May 22,Tom B. Widdowson,6C3DBA5C-8A70-B844-AC32-2016E8AE9D63
A3982,,Costaria,costata,Canada,1959 May 22,Tom B. Widdowson,A9DE32AA-69A4-7B44-BE7C-E0AC03610915
A3995,,Costaria,costata,Canada,1959 May 22,Tom B. Widdowson,1F5D5FF3-F2AB-734B-900D-E98C813E9A99
A3994,,Costaria,costata,Canada,1959 May 22,Tom B. Widdowson,A560AE01-C452-6041-A207-E9C8F0A90340
A63202,,Costaria,costata,Canada,1980 Nov 02,Larry T. Golden,7063E27D-AEFC-A346-99D4-11BDDD7F53F2
A53678,,Costaria,costata,Canada,1969 Feb 28,R. Hooper,8CFFB251-8702-B04F-B257-653CCA039645
A45712,,Costaria,costata,Canada,1969 Jun 01,S. O'brien,35A0FE3E-7141-4649-9039-B67A2D9F36BE
A45713,,Costaria,costata,Canada,1969 Jun 01,S. O'brien,ED99E6EE-2829-E044-BE90-DE821DBE920A
A45714,,Costaria,costata,Canada,1969 Jun 01,S. O'brien,63CAD9C8-5B48-3B49-B5BA-BD362DC0EAC2
A45715,,Costaria,costata,Canada,1969 Jun 01,S. O'brien,2D22C8F0-E6BE-EA46-8D6E-C28223B85E17
A32632,,Costaria,costata,Canada,1968 Apr 16,M. Chihara,B910F419-5A8A-4F43-8148-8C086ED1E366
A29111,,Costaria,costata,Canada,1967 May 11,Ken Baillie,9CD2E577-C36F-5244-83ED-0932BC4AAAAF
A29462,,Costaria,costata,Canada,1967 Jul 19,Patrick Chamut,4C04265A-313D-434D-A66C-3B0452320736
A31476,,Costaria,costata,Canada,1967 Aug 04,Patrick Chamut,E7F9B9B9-726C-794E-9D60-09FC7273AC3D
A31796,,Costaria,costata,Canada,1967 Aug 16,Patrick Chamut,86F25E7A-F432-544C-8DF4-163711AB80B7
A31983,,Costaria,costata,Canada,1967 Sep 02,Patrick Chamut,30FCAF90-691E-2542-B140-624FDE7F6707
A34871,,Costaria,costata,Canada,1968 Jul 24,Patrick Chamut,5E5FF190-C394-0A4C-8931-B580302A4324
A34026,,Costaria,costata,Canada,1968 Jun 11,Patrick Chamut,B8A1AC08-5703-8748-B629-1F92DCCF9942
A34266,,Costaria,costata,Canada,1968 Jun 25,Patrick Chamut,7EE5D2D8-E675-734B-B483-CA5F2A9197A1
A34487,,Costaria,costata,Canada,1968 Jul 10,Patrick Chamut,0145F134-BDC2-1E43-9D97-B3114BB80CCF
A33553,,Costaria,costata,Canada,1968 May 27,Patrick Chamut,8342D31F-D874-524A-9C6E-C5C08CE63C89
A33112,,Costaria,costata,Canada,1968 May 14,Patrick Chamut,B56E03EF-66F6-454B-A482-3208351D3DB1
A31797,,Costaria,costata,Canada,1967 Aug 18,Patrick Chamut,AA3400EF-8F0D-1A42-8692-409C29880ECF
A31672,,Costaria,costata,Canada,1967 Aug 06,Patrick Chamut,2BA1C73D-BCA0-9D46-A069-1AF95D4A939A
A31475,,Costaria,costata,Canada,1967 Jul 21,Patrick Chamut,4194A8E9-0F21-B948-8026-B909A648394F
A29791,,Costaria,costata,Canada,1966 Jun 21,Patrick Chamut,20874AC9-8AE3-2F4C-BF06-EA5AB7A6D9FF
